;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SENAI;                                            ATIVO IMOBILIZADO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"SISTEMA DE
CONFERÊNCIA
ON -LINE
03/2026";LOCALIZ.;NOME DO AMBIENTE;;;;;IMOB.;"Nº 
INVENTÁRIO";"DATA
INCORP.";DENOMINAÇÃO IMOBILIZADO;RESPONSÁVEL;STATUS/OCORRÊNCIA;TRANSFERÊNCIA;;DISPONIBILIDADE;;;;BAIXA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;"LOCAL
DESTINO";RESPONSÁVEL;AUTORIZ.;"DATA ENVIO 
P/GAF";"Nº DA
UNIDADE";ENTREPOSTO;AUTORIZ.;"DATA 
ENVIO 
P/DIRETOR";"PROCESSO 
Nº";;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770004;2077;00;04;;;;10199487;1186522;31.08.2017;ARMÁRIO PASTA SUSPENSA MALIBU DC 1659;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770004;2077;00;04;;;;10194789;1180379;01.02.2017;CADEIRA GIRATÓRIA C/BRAÇOS TECIDO PRETO/COPERFLEX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770004;2077;00;04;;;;10194800;1180390;01.02.2017;CADEIRA GIRATÓRIA C/BRAÇOS TECIDO PRETO/COPERFLEX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770004;2077;00;04;;;;10194807;1180397;01.02.2017;CADEIRA GIRATÓRIA C/BRAÇOS TECIDO PRETO/COPERFLEX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770004;2077;00;04;;;;10194808;1180398;01.02.2017;CADEIRA GIRATÓRIA C/BRAÇOS TECIDO PRETO/COPERFLEX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770004;2077;00;04;;;;10194810;1180400;01.02.2017;CADEIRA GIRATÓRIA C/BRAÇOS TECIDO PRETO/COPERFLEX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770004;2077;00;04;;;;10194811;1180401;01.02.2017;CADEIRA GIRATÓRIA C/BRAÇOS TECIDO PRETO/COPERFLEX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770004;2077;00;04;;;;10194708;1180298;01.02.2017;CADEIRA GIRATÓRIA P/DIRETOR/ COPERFLEX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770004;2077;00;04;;;;10194709;1180299;01.02.2017;CADEIRA GIRATÓRIA P/DIRETOR/ COPERFLEX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770004;2077;00;04;;;;10302642;747164;31.03.2006;CONDICIONADOR DE AR SOLIT 48000BTU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770004;2077;00;04;;;;10686032;1341818;21.01.2025;DESKTOP CORPORATIVO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770004;2077;00;04;;;;10686033;1341819;21.01.2025;DESKTOP CORPORATIVO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770004;2077;00;04;;;;10686034;1341820;21.01.2025;DESKTOP CORPORATIVO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770004;2077;00;04;;;;10686035;1341821;21.01.2025;DESKTOP CORPORATIVO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770004;2077;00;04;;;;10689648;1345539;18.02.2025;DESKTOP CORPORATIVO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770004;2077;00;04;;;;10211698;1213311;07.12.2018;GAVETEIRO VOLANTE MALIBÚ DC 1691;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770004;2077;00;04;;;;10211699;1213312;07.12.2018;GAVETEIRO VOLANTE MALIBÚ DC 1691;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770004;2077;00;04;;;;10211700;1213313;07.12.2018;GAVETEIRO VOLANTE MALIBÚ DC 1691;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770004;2077;00;04;;;;10211704;1213317;07.12.2018;GAVETEIRO VOLANTE MALIBÚ DC 1691;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770004;2077;00;04;;;;10211706;1213319;07.12.2018;GAVETEIRO VOLANTE MALIBÚ DC 1691;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770004;2077;00;04;;;;10175615;1142269;31.05.2015;GAVETEIRO VOLANTE MALIBÚ DC1691;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770004;2077;00;04;;;;10175619;1142273;31.05.2015;GAVETEIRO VOLANTE MALIBÚ DC1691;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770004;2077;00;04;;;;10175620;1142274;31.05.2015;GAVETEIRO VOLANTE MALIBÚ DC1691;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770004;2077;00;04;;;;10175621;1142275;31.05.2015;GAVETEIRO VOLANTE MALIBÚ DC1691;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770004;2077;00;04;;;;10626324;1274030;18.04.2023;IMPRESSORA P/CARTÃO/CRACHÁ DUPLEX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770004;2077;00;04;;;;10216605;1220840;30.04.2019;MESA EM L COM DIVISÓRIA MALIBU DC 1693;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770004;2077;00;04;;;;10216606;1220841;30.04.2019;MESA EM L COM DIVISÓRIA MALIBU DC 1693;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770004;2077;00;04;;;;10216607;1220842;30.04.2019;MESA EM L COM DIVISÓRIA MALIBU DC 1693;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770004;2077;00;04;;;;10216608;1220843;30.04.2019;MESA EM L COM DIVISÓRIA MALIBU DC 1693;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770004;2077;00;04;;;;10216609;1220844;30.04.2019;MESA EM L COM DIVISÓRIA MALIBU DC 1693;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770004;2077;00;04;;;;10216610;1220845;30.04.2019;MESA EM L COM DIVISÓRIA MALIBU DC 1693;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770004;2077;00;04;;;;10216611;1220846;30.04.2019;MESA EM L COM DIVISÓRIA MALIBU DC 1693;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770004;2077;00;04;;;;10216612;1220847;30.04.2019;MESA EM L COM DIVISÓRIA MALIBU DC 1693;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770004;2077;00;04;;;;10653565;1301386;11.04.2024;MICROCOMPUTADOR CORPORATIVO 24MB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
